name,continent,sport,participations,gender,medallas
Michael Phelps,América,Natación,1,M,28
Larisa Latynina,Europa,Gimnasia,3,F,18
Nikolai Andrianov,Europa,Gimnasia,3,M,15
Katie Ledecky,América,Natación,4,F,14
Isabell Werth,Europa,Equitación,9,F,14
Emma McKeon,Oceanía,Natación,3,F,14
Boris Shakhlin,Europa,Gimnasia,3,M,13
Edoardo Mangiarotti,Europa,Esgrima,7,M,13
Paavo Nurmi,Europa,Atletismo,3,M,12
Birgit Fischer,Europa,Piragüismo,7,F,12
Sawao Kato,Asia,Gimnasia,3,M,12
Jenny Thompson,América,Natación,4,F,12
Ryan Lochte,América,Natación,4,M,12
Mark Spitz,América,Natación,2,M,11
Matt Biondi,América,Natación,3,M,11
Vera Cáslavská,Europa,Gimnasia,3,F,11
Viktor Chukarin,Europa,Gimnasia,2,M,11
Allyson Felix,América,Atletismo,5,F,11
Simone Biles,América,Gimnasia,3,F,11
Carl Lewis,América,Atletismo,4,M,10
Caeleb Dressel,América,Natación,3,M,10
Aladár Gerevich,Europa,Esgrima,8,M,10
Akinori Nakayama,Asia,Gimnasia,2,M,10
Vitaly Scherbo,Europa,Gimnasia,2,M,10
Lisa Carrington,Oceanía,Piragüismo,4,F,9
Jason Kenny,Europa,Ciclismo,4,M,9
Hubert Van Innis,Europa,Tiro con arco,6,M,9
Valentina Vezzali,Europa,Esgrima,5,F,9
Ray Ewry,América,Atletismo,3,M,8
Usain Bolt,América,Atletismo,3,M,8
Gert Fredriksson,Europa,Piragüismo,4,M,8
Danuta Kozák,Europa,Piragüismo,4,F,8
Reiner Klimke,Europa,Equitación,7,M,8
Svetlana Romáshina,Europa,Natación sincronizada,4,F,7
Chris Hoy,Europa,Ciclismo,4,M,7
Pál Kovács,Europa,Esgrima,7,M,7
Rudolf Kárpáti,Europa,Esgrima,4,M,6
Nedo Nadi,Europa,Esgrima,3,M,6
Kristin Otto,Europa,Natación,1,F,6
Amy Van Dyken,América,Natación,2,F,6
